L 06/17/2017 - 00:14:26: SourceMod log file session started (file "L20170617.log") (Version "1.8.0.5912")
L 06/17/2017 - 00:14:26: [SM] Changed map to "emp_drygulch_a6"
L 06/17/2017 - 00:14:27: -------- Mapchange to emp_drygulch_a6 --------
L 06/17/2017 - 00:14:37: [security_entity_limit.smx] [SEL] 193 entities have been protected from deleting.This map contain 1855 free entity slot!
L 06/17/2017 - 00:38:30: [SM] Changed map to "emp_nuclear_b8u_xfix"
L 06/17/2017 - 00:38:30: -------- Mapchange to emp_nuclear_b8u_xfix --------
L 06/17/2017 - 00:38:41: [security_entity_limit.smx] [SEL] 1005 entities have been protected from deleting.This map contain 1043 free entity slot!
L 06/17/2017 - 01:18:41: [SM] Changed map to "emp_shadows_attacks_fix"
L 06/17/2017 - 01:18:42: -------- Mapchange to emp_shadows_attacks_fix --------
L 06/17/2017 - 01:18:52: [security_entity_limit.smx] [SEL] 799 entities have been protected from deleting.This map contain 1249 free entity slot!
L 06/17/2017 - 02:43:29: [SM] Changed map to "emp_blast_ob1"
L 06/17/2017 - 02:43:29: -------- Mapchange to emp_blast_ob1 --------
L 06/17/2017 - 02:43:40: [security_entity_limit.smx] [SEL] 666 entities have been protected from deleting.This map contain 1382 free entity slot!
L 06/17/2017 - 12:02:09: [SM] Changed map to "emp_downfall"
L 06/17/2017 - 12:02:09: -------- Mapchange to emp_downfall --------
L 06/17/2017 - 12:02:20: [security_entity_limit.smx] [SEL] 160 entities have been protected from deleting.This map contain 1888 free entity slot!
L 06/17/2017 - 14:45:13: [SM] Changed map to "emp_beachfront_b2"
L 06/17/2017 - 14:45:13: -------- Mapchange to emp_beachfront_b2 --------
L 06/17/2017 - 14:45:23: [security_entity_limit.smx] [SEL] 165 entities have been protected from deleting.This map contain 1883 free entity slot!
L 06/17/2017 - 15:12:47: [SM] Changed map to "con_urbanchaos_fix"
L 06/17/2017 - 15:12:48: -------- Mapchange to con_urbanchaos_fix --------
L 06/17/2017 - 15:12:58: [security_entity_limit.smx] [SEL] 660 entities have been protected from deleting.This map contain 1388 free entity slot!
L 06/17/2017 - 15:26:03: [SM] Changed map to "emp_vehicletraining_2013"
L 06/17/2017 - 15:26:04: -------- Mapchange to emp_vehicletraining_2013 --------
L 06/17/2017 - 15:26:14: [security_entity_limit.smx] [SEL] 344 entities have been protected from deleting.This map contain 1704 free entity slot!
L 06/17/2017 - 15:52:34: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text installed the latest votetime and empstats)
L 06/17/2017 - 15:53:26: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text are you saying that because of the shitty turret rotation or because of the map?)
L 06/17/2017 - 15:54:18: [basechat.smx] "Console<0><Console><Console>" triggered sm_say (text I am not even on the server, I'm talking through the console.)
L 06/17/2017 - 16:02:39: [SM] Changed map to "emp_crossroads"
L 06/17/2017 - 16:02:40: -------- Mapchange to emp_crossroads --------
L 06/17/2017 - 16:02:50: [security_entity_limit.smx] [SEL] 567 entities have been protected from deleting.This map contain 1481 free entity slot!
L 06/17/2017 - 17:24:41: SourceMod log file session started (file "L20170617.log") (Version "1.8.0.5912")
L 06/17/2017 - 17:24:41: -------- Mapchange to con_district402 --------
L 06/17/2017 - 17:24:41: [security_entity_limit.smx] Security Entity Limit [SEL] Activate!
L 06/17/2017 - 17:24:41: [security_entity_limit.smx] [SEL]Current version: 0.5.4
Plugin made by Benoist3012!
L 06/17/2017 - 17:24:53: [security_entity_limit.smx] [SEL] 434 entities have been protected from deleting.This map contain 1614 free entity slot!
L 06/17/2017 - 18:17:29: [SM] Changed map to "emp_vehicletraining_2013"
L 06/17/2017 - 18:17:29: -------- Mapchange to emp_vehicletraining_2013 --------
L 06/17/2017 - 18:17:40: [security_entity_limit.smx] [SEL] 340 entities have been protected from deleting.This map contain 1708 free entity slot!
L 06/17/2017 - 18:46:13: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:13: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:13: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:14: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:20: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:21: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:21: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:25: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:26: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:26: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:26: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:27: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:28: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:29: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:29: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:29: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:29: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:30: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:46:31: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:16: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:17: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:17: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:18: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:18: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:18: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:18: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:18: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:19: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:19: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:20: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:20: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:22: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
L 06/17/2017 - 18:50:23: [playercommands.smx] "Oktay<5><[U:1:116496292]><>" slapped "Oktay<5><[U:1:116496292]><>" (damage "0")
