L 04/05/2017 - 00:03:40: SourceMod error session started
L 04/05/2017 - 00:03:40: Info (map "emp_streetsoffire") (file "errors_20170405.log")
L 04/05/2017 - 00:03:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:04:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:10: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:10: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:35: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:42: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:44: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:48: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:05:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:06:20: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:07:52: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:07:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:08:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:08:45: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:08:48: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:09:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:09:56: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:23: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:10:44: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:07: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:22: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:24: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:11:54: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:12:08: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:12:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:12:50: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:04: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:05: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:25: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:25: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:13:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:14:05: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:14:25: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:14:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:14:43: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:15:03: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:15:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:15:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:15:45: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:16:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:16:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:16:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:16:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:17:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:17:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:17:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:17:32: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:17:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:18:05: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:18:07: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:18:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:18:33: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:18:53: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:23: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:54: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:19:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:21:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:21:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:21:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:21:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:23:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:23:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:23:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:23:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:23:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:25:26: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:25:26: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:25:53: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:26:03: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:26:41: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:27:07: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:27:19: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:27:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:28:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:28:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:28:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:29:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:29:20: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:30:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:31:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:31:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:31:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:31:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:31:26: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:32:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:33:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:34:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:34:10: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:34:10: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:34:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:34:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:35:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:35:05: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:35:19: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:36:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:36:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:36:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:37:30: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:37:33: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:37:38: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:38:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:38:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:39:08: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:39:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:40:03: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:40:32: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:40:48: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:41:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:41:50: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:42:05: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:42:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:43:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:43:30: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:43:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:43:42: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:44:33: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:44:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:20: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:21: [SM] Blaming: adminmenu.smx()
L 04/05/2017 - 00:45:21: [SM] Call stack trace:
L 04/05/2017 - 00:45:21: [SM]   [0] TopMenu.Display
L 04/05/2017 - 00:45:21: [SM]   [1] Line 195, D:\builds\build-sourcemod-msvc12\windows-1.8\build\plugins\adminmenu.sp::Command_DisplayMenu()
L 04/05/2017 - 00:45:22: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:35: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:35: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:45:56: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:46:02: [SM] Exception reported: Plugin not runnable
